,name,address,distance,rating,comment,price
198,Riverview Suites Taipei,"Wanhua District , Taipei",1.6 k,8.4,Very Good,"TWD 5,415"
199,Eastern Beauty Hotel,"Zhongshan District, Taipei",1.6 k,6.0,Review score,"TWD 2,280"
200,Humble Boutique Hotel,"Zhongshan District, Taipei",1.6 k,8.7,Excellent,"TWD 7,392"
201,Hotel Riverview Taipei,"Wanhua District , Taipei",1.6 k,7.4,Good,"TWD 2,850"
202,Dong Men Hotel,"Zhongzheng District, Taipei",1.7 k,7.4,Good,"TWD 2,167"
203,Journey Town Inn,"Zhongshan District, Taipei",1.7 k,9.3,Wonderful,"TWD 3,906"
204,Bon Hotel Taipei,"Zhongshan District, Taipei",1.7 k,8.1,Very Good,"TWD 3,150"
205,KDM Hotel,"Daan District, Taipei",1.7 k,7.9,Good,"TWD 3,741"
206,The Door Inn,"Datong District , Taipei",1.7 k,9.1,Wonderful,"TWD 4,392"
207,Goldinn Hotel,"Zhongshan District, Taipei",1.7 k,8.1,Very Good,"TWD 2,952"
208,Happiness Hotel,"Zhongshan District, Taipei",1.8 k,7.5,Good,"TWD 3,530"
209,Chaiin Hotel - Dongmen,"Zhongzheng District, Taipei",1.8 k,8.1,Very Good,"TWD 5,281"
210,VIP Hotel,"Zhongshan District, Taipei",1.8 k,7.4,Good,"TWD 2,780"
211,Saual Keh Hotel,"Zhongzheng District, Taipei",1.8 k,6.8,Review score,"TWD 3,254"
212,Wego Hotel - Linsen,"Zhongshan District, Taipei",1.8 k,8.3,Very Good,"TWD 4,200"
213,K Hotel Taipei II,"Zhongshan District, Taipei",1.8 k,8.7,Excellent,"TWD 5,700"
214,XINSHE Hotel - Linsen,"Zhongshan District, Taipei",1.8 k,8.2,Very Good,"TWD 3,514"
215,Sonnien Hotel,"Daan District, Taipei",1.9 k,8.4,Very Good,"TWD 4,800"
216,Hotel Fun - Linsen,"Zhongshan District, Taipei",1.9 k,8.1,Very Good,"TWD 2,574"
217,9ine Hotel,"Datong District , Taipei",1.9 k,7.7,Good,"TWD 3,050"
218,Royal Rose Hotel Xinsheng,"Daan District, Taipei",1.9 k,8.6,Excellent,"TWD 4,706"
219,DG Hotel,"Datong District , Taipei",2 km,8.6,Excellent,"TWD 3,848"
220,ARK Hotel - Dongmen,"Zhongzheng District, Taipei",2 km,7.9,Good,"TWD 4,500"
221,Miramar Garden Taipei,"Zhongshan District, Taipei",2 km,8.6,Excellent,"TWD 6,987"
222,Aloft Taipei Zhongshan,"Zhongshan District, Taipei",2 km,8.5,Very Good,"TWD 6,550"
223,Green World JianPei,"Zhongshan District, Taipei",2 km,8.3,Very Good,"TWD 3,162"
224,Hotel Mvsa+Michelin 2 Starred Molino de Urdàniz,"Zhongshan District, Taipei",2 km,8.6,Excellent,"TWD 7,280"
225,Longshan Inn,"Wanhua District , Taipei",2 km,7.9,Good,"TWD 2,540"
226,Good Life Hotel - Shang Hwa,"Zhongshan District, Taipei",2 km,7.9,Good,"TWD 2,800"
227,漫慢米窩,"Zhongshan District, Taipei",2.1 k,6.9,Review score,"TWD 2,500"
228,Monka Hotel,"Wanhua District , Taipei",2.1 k,8.4,Very Good,"TWD 3,137"
229,Green World Grand NanJing,"Zhongshan District, Taipei",2.1 k,8.6,Excellent,"TWD 6,014"
230,Santos Hotel,"Datong District , Taipei",2.1 k,7.5,Good,"TWD 2,852"
